Lex_Function	Keyword	Value
Magn	guérir	parfaitement
Magn	guérir	radicalement
Magn	guérir	souverainement
QSyn	guérir	aller mieux
IncepFunc0	guerre	éclate
IncepOper1	guerre	s’en aller 
Magn	guerre	à grande échelle
Magn	guerre	atroce
Magn	guerre	intense
Magn	guerre	sanglante
Oper1	guerre	faire 
Oper1	guerre	livrer 
Oper1	guerre	mener 
Real2	guet-apens	tomber 
Oper1	gueule de bois	avoir 
Syn	guindé	affecté
Syn	guindé	ampoulé
Syn	guindé	compassé
AntiBon	guitarre	guimbarde
Real1	guitarre	jouer
Oper1	gymnastique	faire 
Sloc	gymnastique	gymnase
Magn	habilité	consommée
Magn	habillé	des pieds à la tête
Bon	habillé	en grand équipage
Bon	habillé	tiré à quatre épingles
Magn	habillé	de pied en cap
IncepReal1	habit	entrer au couvent
IncepReal1	habit	prendre
IncepReal1	habit	prendre le voile
QSyn	habitant	gentilé
AntiReal2	habitude	bousculer 
CausFunc1	habitude	inculquer
FinOper1	habitude	perdre
FinOper1	habitude	perdre la main
IncepOper1	habitude	prendre le pli 
IncepOper1	habitude	prendre 
IncepOper1	habitude	reprendre 
Oper1	habitude	avoir 
Labreal12	hache	passer
AntiMagn	hacher	finement
AntiMagn	hacher	menu
AntiMagn	hacher	fin
Magn	hacher	gros
Magn	hacher	grossièrement
Magn	haine	atavique
A2	haine	haïssable
A2	haine	odieux
Labor12	haine	avoir 
Magn	haine	farouche
Magn	haine	furieuse
Magn	haine	implacable
Magn	haine	meurtrière
Magn	haine	mortelle
Magn	haine	viscérale
Magn	haine	vive
Magn	haïr	à mort
AntiBon	haleine	mauvaise
FinOper1	haleine	perdre 
Oper1	hallucination	avoir 
Oper1	halte	faire 
Oper1	halte	faire 
AntiMagn	hanches	étroites
Oper1	harangue	faire 
QSyn	hasard	aléa
Adv1	hâte	à
Magn	hâte	grande
Oper1	hâte	avoir 
A1	hausse	en
AntiMagn	hausse	légère
Magn	hausse	forte
Oper1	hausse	afficher 
Oper1	hausse	connaître 
Oper1	hausse	être 
Magn	hauteur	vertigineuse
Oper1	hauteur	faire
QSyn	hauteur	éminence
Labor12	héritage	recevoir 
Magn	héritage	gros
Oper1	héritage	faire
S1	héritage	héritier
V0	héritage	hériter
S1	hériter	héritier
S2	hériter	héritage
Oper1	hésitation	marquer
Func0	heure	sonne
Magn	heure	avancée
Anti	heureusement	malheureusement
Syn	heureusement	_par bonneur_
Magn	heureux	_comme un roi_
Magn	heureux	_comme un pape_
Magn	heureux	_comme un poisson dans l'eau_
Magn	heurter	de plein fouet
Son	hibou	huer
Son	hibou	hulule
CausFunc1	hilarité	déclencher
Sinstr	hisser	treuil
Syn	histoire	raccontard
Syn	histoire	salade
CausFunc0	historique	faire
Magn	hiver	rigoureux
AntiMagn	hiver	doux
S1	hold-up	auteur 
Magn	hommage	appuyé
Oper1	hommage	rendre
AntiVer	homme	chiffe
AntiBon	homme	empâté
AntiBon	homme	bouffi
AntiVer	homme	lavette
Magn	honnête	foncièrement
AntiMagn	honnêteté	douteuse
Magn	honnêteté	absolue
Magn	honnêteté	insoupçonable
Magn	honnêteté	parfaite
Magn	honnêteté	sans tâche
Oper1	honnêteté	être
Func1	honneur	revenir 
CausFunc1	honneurs	accorder 
A1	honte	honteux#1
Anti	honte	fierté
AntiReal1	honte	avaler
Magn	honte	indélébile
Oper1	honte	avoir
Oper1	honte	éprouver
Oper1	honte	essuyer
Oper2	honte	faire 
S2	honte	honte
Sing	honte	accès 
Syn	hôpital	hosto
Oper1	hoquet	avoir
Son	hoquet	Hic !
Son	hoquet	Hips !
Son	hoquet	Houps !
AntiVer	horizon	bouché
CausFunc1	horizon	ouvrir 
Locin	horizon	à
Magn	horizon	vastes
Fact2	horloge	affiche
Magn	horreur	sainte
CausOper1	horreur	plonger 
Magn	horreur	indicible
A1	hospitalité	hospitalier
Oper1	hospitalité	donner
Oper1	hospitalité	offrir
Oper2	hospitalité	recevoir 
Magn	hostilité	irréductible
Ver	hostilité	bien méritée
IncepOper1	hostilités	engager 
IncepOper1	hostilités	entamer 
Magn	hôte	de marque
Oper1	hourrah	pousser 
Labreal12	huile	huiler
Magn	huile	grosse
Syn	huile	(gros) ponte 
Syn	huile	(grosse) pointure
Syn	huile	grosse légume
CausOper1	humeur	mettre 
AntiBon	humeur	mauvaise
AntiBon	humeur	massacrante
A1	humeur	de 
AntiBon	humeur	_de chien_
AntiBon	humeur	_de dogue_
Bon	humeur	bonne
Oper1	humeur	être 
CausFunc0	humidité	attirer
Magn	humidité	accablante
Oper2	humiliation	ressentir 
Oper2	humiliation	souffrir 
QSyn	humilier, s’	se traîner à quatre pattes
A1	humilité	en 
Func0	hurlement	déchire l’air
Func0	hurlement	jaillit
Func0	hurlement	retentit
Func0	hurlement	s’élève
Magn	hurlement	aigu
Magn	hurlement	perçant
Magn	hurlement	strident
Oper1	hurlement	pousser 
V0	hurlement	hurler
Magn	hypocrite	fieffé
Real2	hypothèse	étayer 
AntiReal1	hypothèse	démentir
AntiReal1	hypothèse	écarter
AntiReal1	hypothèse	réfuter
AntiReal1	hypothèse	rejeter
Caus1Func0	hypothèse	avancer 
Caus1Func0	hypothèse	échafauder 
Caus1Func0	hypothèse	élaborer 
Caus1Func0	hypothèse	émettre 
Caus1Func0	hypothèse	évoquer 
Caus1Func0	hypothèse	faire 
Caus1Func0	hypothèse	poser 
IncepReal1	hypothèse	accepter
LiquFunc0	hypothèse	_battre en brèche_
Real3	hypothèse	admettre
Ver	hypothèse	plausible
Caus1Func0	hypothèse	hypothétiser
Real2	hypothèse	confirmer 
Magn	idéal	tout à fait
Bon	idée	brillante
CausFunc1	idée	donner 
Func1	idée	frappe 
Func1	idée	passe 
IncepFunc1	idée	germe
IncepFunc1	idée	se précipitent
IncepFunc1	idée	vient
IncepOper1	idée	se faire
Oper1	idée	avoir 
Bon	idée	bonne
Bon	idée	de génie
Bon	idée	géniale
Bon	idée	lumineuse
Adv1	identique	à l’identique
Real1	identité	décliner 
IncepOper1	idéologie	embrasser
A1	ignorance	dans 
Magn	ignorance	complète
Magn	ignorance	crasse
Magn	ignorance	entière
Magn	ignorance	parfaite
Magn	ignorance	totale
Adv1	ignorer	à [...] insu
AntiVer	ignorer	injustement
Magn	il faut	impérativement
Magn	il faut	absolument
Magn	il faut	bien
Magn	il y a	belle lurette
Magn	il y a	longtemps
Locin	île	dans
Locin	île	sur 
FinOper1	illusion	perdre 
IncepOper1	illusions	_se monter la tête_
IncepOper1	illusions	_se monter le bourrichon_
IncepOper1	illusions	se faire 
Oper1	illusions	se bercer 
Oper1	illustration	servir 
CausFunc0	image	fournir
CausFunc1	image	donner 
Magn	imagination	débordante

Magn	imagination	vive
QSyn	imbécile	branque
QSyn	imbécile	noix
Magn	imiter	parfaitement
QSyn	immédiatement	_aussi sec_
QSyn	immédiatement	_du tac au tac_
QSyn	immédiatement	de ce pas
Syn	immédiatement	_illico presto_
Syn	immédiatement	_tout de suite_
Syn	immédiatement	à peine
Syn	immédiatement	illico
Syn	immédiatement	sur-le-champ
Syn	imminent	_pendre au nez_ 
Oper1	immunité	jouir 
Oper1	impact	exercer 
Magn	impact	profond
Oper1	impact	avoir 
Oper1	impair	commettre 
Oper1	impair	faire 
AntiReal1	impasse	passer à travers
IncepReal1	impasse	arriver 
LiquFunc0	impasse	briser
Magn	impasse	absolue
Real1	impasse	être 
Real1	impasse	se trouver 
V0	impatient	_ronger [...] frein_
Syn	impatienter, s’	_ronger son frein_
Magn	implanté	solidement
S0	implorer	supplique
CausFunc1	importance	attacher 
IncepOper1	importance	acquérir
IncepOper1	importance	prendre
IncepOper1	importance	revêtir
Magn	importance	cruciale
Magn	importance	capitale
Magn	importance	essentielle
Magn	importance	grande
Magn	importance	haute
AntiMagn	important	peu
Magn	important	de toute première importance
Magn	importuner	_[CLDAT-Y] chier dans les bottes_
Magn	impossible	rigoureusement
Magn	impossible	strictement
QSyn	impossible	hors de question
Magn	impôt	écrasant
Magn	impôt	lourd
Oper1	impôts	lever 
Real2	impôts	payer 
Magn	impression	vive
AntiMagn	impression	vague
Func2	impression	est 
Labor12	impression	avoir 
Magn	impression	profonde
Oper1	impression	avoir 
Magn	impressionné	profondément
Magn	improbable	hautement
Oper1	impulsion	imprimer 
Oper1	inaperçu	passer 
Adv1	inattendu	comme un cheveu sur la soupe
S1	incapable	jean-foutre
CausFunc0	incendie	allumer
CausFunc0	incendie	déclencher
Func0	incendie	brûle
IncepFunc1	incendie	se déclare
IncepFunc1	incendie	se déclenche
Magn	incendie	dévastateur
Magn	incendie	meurtrier
CausOper1	incertitude	plonger 
Magn	incertitude	grande
Oper1	incertitude	flotter 
Oper1	incidence	avoir 
Magn	inconvénient	grave
QSyn	indécent	_de cul_
QSyn	indécent	cochon
QSyn	indécent	graveleux
QSyn	indécent	licentieux
QSyn	indécent	scabreux
ContOper1	indécision	rester
Syn	indéfinissable	ni chair, ni poisson
Syn	indéfinissable	ni lard, ni cochon
Syn	indemnité	N-aine 
IncepOper1	indépendance	accéder
Magn	indépendant	totalement
Magn	indépendant	farouchement
Oper1	indication	donner 
Magn	indications	plus amples
Adv1	indice	en 
Anti	indice	exposant
Syn	indifférent	_de marbre_
Syn	indifférer	laisser froid
QSyn	indignation	levée de boucliers
AntiBon	individu	coco
AntiBon	individu	zèbre
AntiBon	individu	zozo
AntiBon	individu	pâle
AntiBon	individu	sombre
Magn	individualiste	forcéné
Magn	indulgence	extrême
V0	indulgent	fermer les yeux
Syn	inexprimable	ineffable
S1	infanterie	fantassin
Oper1	infarctus	faire 
Oper1	infidélité	commettre 
Oper1	infidélité	faire 
Magn	inflation	galopante
AntiBon	influence	néfaste
Func0	influence	se fait sentir 
AntiBon	influence	défavorable
Magn	influence	profonde
Sloc	influence	mouvance 
Sloc	influence	sphère 
A1	influence	influent
AntiBon	influence	mauvaise
FinOper1	influence	perdre
Magn	influence	énorme
Magn	influence	puissante
Magn	influence	considérable
Magn	influence	marquante
Magn	influence	vive
Oper1	influence	avoir 
Oper1	influence	exercer 
Magn	influencé	fortement
Oper1	information	véhiculer 
Oper2	information	avoir 
Ver	information	tangible
CausOper1	informé	tenir 
Magn	informé	parfaitement
Magn	infraction	grave
Oper1	infraction	commettre 
Anti	initial	final
Func1	initiative	revient 
Func1	initiative	vient 
Oper1	initiative	prendre 
Syn	injection	piqûre
Mult	injure	bordée 
AntiReal2	injure	laver 
Oper1	injure	assener 
Oper1	injure	faire 
QSyn	injure	affront
Magn	injurier	comme une marchande de poisson
Oper1	injustice	commettre 
Magn	innocence	totale
Oper1	innocence	clamer 
CausFunc0	inondation	provoquer 
Pred	inquiet	inquiéter, se
Magn	inquiéter	sérieusement
Magn	inquiéter, se	_se faire de la bile_
Magn	inquiéter, se	_se faire du mauvais sang_
Magn	inquiéter, se	_se faire le sang d’encre_
Magn	inquiéter, se	_se ronger les sangs_
Magn	inquiéter, se	sérieusement
Magn	inquiéter, se	terriblement
IncepOper1	inquiétude	être gagné
Magn	inquiétude	extrême
Magn	inquiétude	croissante
Magn	inquiétude	forte
Magn	inquiétude	grande
Magn	inquiétude	vive
Oper1	inscription	faire 
V0	inscription	inscrire
V0	inscription	s’inscrire
Pred	insignifiant	_être de la roupie de sansonnet_
Pred	insignifiant	être la peau de zébi
QSyn	insignifiant	falot
Magn	insinuation	odieuse
Adv1	insister	avec insistance
QSyn	insister	presser 
Magn	insolence	rare
Oper1	inspection	mener 
Magn	instinct	infaillible
Magn	instinct	aigu
Real1	instinct	suivre 
LiquFunc0	institution	fermer
Locin	institution	dans 
Oper1	instruction	fournir 
IncepOper1	instruction	ouvrir 
Oper1	instruction	donner 
Oper1	instruction	mener 
Oper2	instruction	recevoir 
Real2	instruction	conformer 
Real2	instruction	suivre 
S1	instruction	juge d’instruction
Labor12	instrument	utiliser 
Oper2	instrument	servir 
Labor12	instrumentaliser	instrumentaliser 
Oper1	insulte	échanger 
Oper2	insulte	essuyer 
Oper2	insulte	subir 
Oper1	insulte	lancer 
IncepOper1	insurrection	déclencher 
LiquFunc0	insurrection	écraser
S1	insurrection	insurgé
AntiMagn	intensité	faible
Magn	intensité	forte
AntiBon	intention	diabolique
AntiBon	intention	mauvaise
Bon	intention	bonne
Bon	intention	meilleure
Magn	intention	arrêtée
Magn	intention	ferme
Oper1	intention	avoir 
Func2	interdiction	pèse 
LiquFunc0	interdiction	lever 
LiquFunc0	interdit	faire sauter 
LiquFunc0	interdit	lever 
Real3	interdit	braver
Real3	interdit	briser
Real3	interdit	transgresser
S0	intéressant	intérêt 
Magn	intéresser	grandement
Magn	intéresser	vivement
Caus1Oper1	intérêt	accorder 
FinOper1	intérêt	perdre
IncepOper1	intérêt	se prendre 
Magn	intérêt	avide
Magn	intérêt	grand
Magn	intérêt	vif
Oper1	intérêt	avoir 
Oper1	intérêt	porter 
Oper2	intérêt	présenter 
Oper2	intérêt	revêtir 
IncepOper1	intérêt	prendre 
Oper2	intérêt	réside
Locin	internet	sur 
CausFunc0	interrogation	susciter 
Labor12	interrogatoire	soumettre 
Magn	interrogatoire	musclé
Magn	interrogatoire	serré
Oper1	interrogatoire	mener 
Oper2	interrogatoire	subir 
Magn	interroger	cuisiner
AntiReal1	interrupteur	eteindre
Real1	interrupteur	allumer 
Real1	interrupteur	appuyer 
QSyn	intervalle	battement
Magn	intervention	ferme
Adv1	interview	dans 
Oper1	interview	accorder 
Oper1	interview	donner 
S1	interview	interviewer
V0	interview	interviewer
Adv1	intimité	dans
Magn	intimité	la plus stricte
IncepFunc0	intrigue	se noue
Oper1	intrigue	ourdir 
S1	inutile	_un cataplasme sur une jambe de bois_
AntiReal2	invasion	enrayer 
AntiReal2	invasion	repousser 
Mult	invective	bordée 
Oper1	invective	lancer 
Oper1	inventaire	dresser 
Magn	inventer	de toutes pièces
Real1	invention	breveter 
Oper1	investigation	mener 
QSyn	investigation	enquête
Oper1	investissement	faire 
QSyn	invitation	_appel du pied_
Magn	invitation	pressante
Oper1	invitation	faire 
Oper1	invitation	lancer 
Oper2	invitation	recevoir 
Real2	invité	recevoir 
Syn	irriter	taper sur les nerfs 
LiquFunc0	isolement	briser 
AntiBon	Italien	Rital
AntiBon	Italien	Macaroni
Anti	ivre	sobre
AntiMagn	ivre	éméché
AntiMagn	ivre	pompette
AntiMagn	ivre	gris
Magn	ivre	-mort
S0	ivre	ivresse
S1	ivre	ivrogne
Syn	ivre	_en état d’ébriété_
Syn	ivre	aviné
Syn	ivresse	cuite
Magn	ivresse	profonde
Magn	ivrogne	invétéré
Syn	ivrogne	pochard
Syn	ivrogne	poivrot
Magn	jacasser	comme une pie
Oper1	jalon	poser 
Syn	jalon	balise
Magn	jalousie	féroce
Magn	jaloux	comme un tigre/une tigresse
Magn	jamais	de la vie
Syn	jambe	guibolle
AntiMagn	jaune	isabelle
Magn	jaune	comme un citron
Syn	je t’/vous en prie	(il n’y) pas de quoi
Syn	je t’/vous en prie	à ton/votre service
S2	jeter	détritus
S2	jeter	ordures
S1	jeu	joueur
Sing	jeu	coup
Bon	jeu	solide
Bon	jeunesse	belle
Oper1	joie	ressentir 
Magn	joie	grande
Magn	joie	inextinguible
CausFunc1	joie	apporter 
CausOper1	joie	mettre 
IncepFunc1	joie	envahit 
IncepFunc1	joie	inonde 
Magn	joie	au septième ciel
Magn	joie	réjouissance
Magn	joie	transport
Magn	joie	aigüe
Magn	joie	intense
Magn	joie	vive
Magn	joli	à croquer
Syn	joli	jojo
S1	jouer	joueur
AntiBon	jouer	comme une savate
AntiMagn	jouer	petit
AntiReal1	jouer	perdre
Magn	jouer	gros
Real1	jouer	gagner
Magn	joueur	satané
IncepOper1	joug	tomber 
Oper1	joug	être 
IncepFunc0	jour	point
IncepFunc0	jour	paraît
IncepFunc0	jour	se lève
IncepFunc0	jour	vient
AntiBon	journal	sale canard
AntiBon	journal	torchon
CausFunc0	journal	tenir 
QSyn	journal	quotidien
Syn	journal	canard
AntiBon	journaliste	folliculaire
AntiBon	journaliste	plumitif
S1	jovial	joyeux drille
Oper1	jugement	rendre 
LiquFunc0	jugement	casser 
Oper1	jugement	émettre 
Oper1	jugement	exprimer 
Oper1	jugement	formuler 
Oper1	jugement	porter 
S0	juger	jugement
QSyn	Juifs	youdes
QSyn	Juifs	youpins
Magn	jurer	copieusement
Magn	jurer 	comme un charretier
Magn	jurer 	catégoriquement
Magn	jurer 	gravement
Magn	jurer 	solennellement
Magn	juron	abominable
Oper1	juron	pousser 
Oper1	jury	siéger 
S1	jury	membre 
Real1	justice	rendre 
Oper1	justification	apporter 
Oper1	justification	faire 
Magn	justifier	amplement
Labor12	K.O.	mettre 
Syn	kidnapper	enlever
Labreal12	KO	mettre 
Magn	l’emporter	haut la main
Magn	labeur	difficile
Magn	labeur	dur
Magn	labeur	pénible
Magn	labeur	rude
S1	laboratoire	laborantin
Syn	laboratoire	labo
AntiReal1	labyrinthe	passer 
Syn	labyrinthe	dédale
A0	lac	lacustre
Magn	lâcheté	immense
Magn	lâcheté	rare
LiquFunc0	lacune	combler 
LiquFunc0	lacune	remplir 
LiquFunc0	lacune	pallier 
Magn	lacune	flagrante
Magn	lacune	grave
Oper1	lacune	comporter 
Magn	laid	à faire fuir
Magn	laid	abominablement
Magn	laid	comme un pou
Magn	laid	fort
Sinstr	lait	mamelon
Sinstr	lait	pis
Sinstr	lait	sein
A1	lambeaux	dépenaillé
A1	lambeaux	en 
IncepOper1	lambeaux	partir 
IncepOper1	lambeaux	tomber 
Syn	lame	vague
Oper1	lancement	procéder 
Real1	langue	se passer 
Real1	langue	parler 
QSyn	laps	plage
QSyn	laps	tranche
A1	largeur	NUM n de 
A0	larmes	lacrymal
A1	larmes	embué 
Real1	larmes	avoir [...] aux yeux
Real1	larmes	verser 
Oper1	lavage	procéder 
Sinstr	lavement	_poire à lavement_
Magn	laver	à grande eau
Sinstr	laver	lave-linge
Magn	laver 	_des pieds à la tête_
S0	laver 	lavage
Sinstr	laver 	débarbouillette
Sinstr	laver 	gant de toilette
Sinstr	laver 	éponge
Sinstr	laver 	brosse
Sinstr	laver 	chiffon
Sinstr	laver 	lave-vaisselle
Sinstr	laver 	machine à laver
Sinstr	laver 	serpillère
Sloc	laver 	_salle de bain_
Sloc	laver 	lave-auto
Ver	laver 	soigneusement
QSyn	lèche-cul	fayot
Oper1	leçon	dispenser 
Magn	leçon	grande
Magn	leçon	magistrale
Oper1	lecture	donner 
Bon	légende	dorée
LiquFunc0	légende	déboulonner
Magn	léger	comme une plume
Magn	lent	comme une tortue
Syn	lent	dur à la détente
Magn	lentement	à pas de tortue
Magn	lentement	comme un escargot
Magn	lentement	comme une tortue
QSyn	lentement	pas à pas
Magn	lenteur	désespérante
CausFunc0	lésion	entraîner 
CausFunc0	lésion	provoquer 
IncepFunc1	léthargie	saisir 
IncepOper1	léthargie	plonger 
Magn	léthargie	profonde
QSyn	leurre
	mirroir aux alouettes
AntiMagn	lèvres	minces
Caus1Oper1	liaison	entrer 
CausFunc0	liaison	assurer 
IncepFunc0	liaison	se forme 
Oper1	liaison	être 
Syn	Liban	le Pays aux cèdres
IncepOper1	liberté	recouvrer 
IncepOper1	liberté	retrouver 
Magn	liberté	grande
Oper1	liberté	avoir 
IncepOper1	liberté	prendre 
Magn	libre	comme l’air
Magn	lié	étroitement
Magn	lié	intimement
CausFunc0	lien	forger 
CausFunc0	lien	tisser 
Magn	lien	étroit
Magn	lien	fort
Magn	lien	solide
Oper1	lien	entretenir 
Magn	liens	indéfectibles
Magn	liens	indissolubles
Oper1	liens	avoir 
A1	liesse	en 
Locin	lieu	sur 
AntiReal1	ligne	briser 
CausFunc0	ligne	tracer 
CausFunc0	ligne	tracer 
Magn	ligne	nette
Magn	ligoter	comme un fagot
AntiReal1	limite	dépasser 
Magn	limiter	au maximum
Mult	linge	lingerie
Real1	linge	laver 
Son	lion	rugit
AntiMagn	lire	parcourir
Magn	lire	attentivement
Magn	lire	de façon minutieuse
Func2	liste	comprend 
Labor12	liste	inscrire 
Magn	liste	complète
Magn	liste	exhaustive
Oper1	liste	dresser 
Oper2	liste	être 
Oper2	liste	figurer 
Caus1Oper1	lit	aller 
Oper1	lit	être 
Real1	lit	se tourner et se retourner 
Locin	lit de mort	sur 
Real3	livre	lire
QSyn	livre	volume
Syn	livre	bouquin
S0	livrer	livraison
Magn	livrer, se	_corps et âme_
Labor12	location	donner 
AntiBon	logement	taudis
AntiBon	logement	délabré
AntiBon	logement	bouge
Real2	logique	souscrire 
Real3	loi	respecter
Fact2	loi	préside 
Real1	loi	obéir 
QSyn	loin	à Pétaouchnock
Magn	loin	bien 
A1	longtemps	_de longue date_
Syn	longtemps	 _la nuit des temps_
QSyn	loquacité	bagout

Son	loquet	cliqueter
Oper1	louange	chanter 
Oper1	louange	ne pas tarir 
Oper1	louange	se répandre 
QSyn	louange	éloge
QSyn	louche	interlope
Syn	loucher	_avoir l’œil qui dit merde à l’autre_
Syn	loucher	_avoir les yeux qui se croisent les bras_
Magn	louer	_porter aux nues_
Magn	louer	exalter
S0	louer	louange
S0	louer	location
Syn	louer	glorifier
Mult	loup	meute
Son	loup	hurler
Func1	lueur	s’épanche 
Func0	lumière	s’échappe 
AntiMagn	lumière	faible
AntiMagn	lumière	tamisée
AntiMagn	lumière	terne
Func0	lumière	filtre 
Magn	lumière	aveuglante
Magn	lumière	éblouissante
Magn	lumière	grande
AntiMagn	lutte	feutrée
ContOper1	lutte	poursuivre 
FinOper1	lutte	_mettre les pouces_
FinOper1	lutte	abandonner 
Magn	lutte	acharnée
Magn	lutte	ardue
Magn	lutte	inlassable
Oper1	lutte	être 
Oper1	lutte	livrer 
Oper1	lutte	mener 
Magn	lutter	à mort
Magn	lutter	farouchement
Magn	lutter	sans relâche
Ver	lutter	à armes égales
A1	luxe	luxueux
CausFunc0	luxe	déployer 
Real1	macaron	arborer 
Labreal12	machine à écrire	taper 
Son	machine à écrire	crépiter
Real1	magasin	tenir 
Real3	magasin	faire
Oper1	magnitude	atteindre 
Anti	maigre	gros
Magn	maigre	à faire pitié
Magn	maigre	comme un clou
Magn	maigre	comme un cent de clous
Magn	maigre	comme un échalas
Anti	maigre	gras 
S0	main	_poignée de main_
Oper1	main de fer	appliquer 
Oper1	main-forte	donner 
Oper1	main-forte	prêter 
Oper2	main-forte	trouver 
Sing	maïs	épi 
AntiBon	maison	baraque
Magn	maître	absolu
Magn	maître	incontesté
V0	maîtrise	maîtriser
Oper1	maîtrise	avoir 
Oper1	maîtrise	posséder 
IncepOper1	maîtrise 	acquérir 
Oper1	majorité	constituer 
Magn	majorité	immense
Adv1	majorité	majoritairement
Adv1	majorité	à 
Adv1	majorité	dans 
AntiMagn	majorité	courte
AntiMagn	majorité	faible
Magn	majorité	écrasante
Magn	majorité	forte
Magn	majorité	grande
Magn	majorité	large
CausFunc1	mal	donner 
Magn	mal	fou
Magn	mal	de chien
Magn	mal	fort
Magn	mal	insupportable
Magn	mal 	lancinant
Oper1	mal 	avoir 
Syn	mal 	douleur
Syn	mal 	rage
Anti	malade	_bien portant_
AntiMagn	malade	patraque
FinOper1	malade	se remettre
IncepOper1	malade	tomber 
Magn	malade	_comme un chien_
Magn	malade	comme une bête 
Magn	malade	gravement
QSyn	malade	souffrant
IncepOper1	maladie	contracter 
Oper1	maladie	souffrir 
AntiReal1	maladie	se rétablir
AntiReal1	maladie	se guérir 
AntiReal1	maladie	se remettre 
FinOper1	maladie	se relever 
FinOper1	maladie	se remettre 
FinOper1	maladie	sortir 
Func1	maladie	toucher
IncepOper1	maladie	attraper 
IncepOper1	maladie	ramasser 
LiquFunc0	maladie	guérir 
LiquFunc0	maladie	remettre 
Magn	maladie	incurable
Magn	maladie	mortelle
Magn	maladie	épineuse
Magn	maladie	grave
Magn	maladie	inextricable
Magn	maladie	sérieuse
Oper1	maladie	couver 
Oper1	maladie	être atteint 
Oper1	maladie	faire 
Magn	maladresse	impair
Syn	maladresse	accident
Syn	maladresse	couac
Syn	maladresse	lapsus
S1	maladroit	maladroit
A1	malaise	pris 
Syn	malaria	paludisme
Oper1	malchance	avoir 
CausFunc0	malentendu	_donner lieu_ 
LiquFunc0	malentendu	dissiper 
Syn	malgré	_en dépit_
Anti	malheureusement	heureusement
Anti	malheureux	heureux
Magn	malheureux	comme les pierres
Magn	malin	comme un singe
IncepOper1	manchettes	faire 
AntiMagn	manger	_du bout des lèvres_
Magn	manger	_à belles dents_
Magn	manger	goulûment
Magn	manger	voracement
S2	manger	nourriture
Sinstr	manger	bouche
Sloc	manger	_salle à manger_
Sloc	manger	restaurant
Magn	manifestation	éclatante
QSyn	manifester	conspuer 
IncepOper1	manoeuvre	amorcer 
Oper1	manœuvre	exécuter 
IncepOper1	manœuvres	lancer 
Oper1	manœuvres	tenir 
Magn	manque	criant
Magn	manque	flagrant
A1	manquer	à court 
A1	manquer	en mal 
Adv1	manquer	à défaut 
Magn	manquer	cruellement
Magn	manquer	lamentablement
S0	manquer	manque
QSyn	marais	bourbier
Real3	marché	aller
Locin	marché	sur 
Mult	marche	volée 
Real1	marche	gravir 
Real1	marche	monter 
Func0	marché	se tient
Real3	marché	faire 
IncepOper1	marche arrière	partir 
Oper1	marche arrière	faire 
AntiBon	marcher	boiter
AntiBon	marcher	clopiner
AntiBon	marcher	claudiquer
AntiBon	marcher	clopin-clopant
AntiBon	marcher	cafouiller
Bon	marcher	comme sur des roulettes
AntiMagn	marge	restreinte
Locin	marge	dans 
A0	mariage	marital
Anti	mariage	concubinage
AntiBon	mariage	malheureux
AntiVer	mariage	blanc
Bon	mariage	heureux
IncepOper1	mariage	contracter 
LiquFunc0	mariage	annuler 
LiquFunc0	mariage	dissoudre 
Real1	mariage	consommer 
Anti	marié	célibataire
Anti	marié	divorcé
Anti	marié	veuf
S0	marier, se	mariage
Sinstr	marier, se	alliance
Sinstr	marier, se	couronne
Syn	marier, se	conduire à l’autel
QSyn	mariner	macérer
Magn	marquer	au fer rouge
Magn	marquer	fortement
Magn	marquer	profondement
Pred	marrant	être à mourir de rire
Labreal12	marteau	marteler 
Oper1	martyre	souffrir 
Oper1	massacre	perpétrer 
Oper1	massacre	se livrer 
QSyn	massacre	_bain de sang_
QSyn	massacre	carnage
QSyn	massacre	hécatombe
QSyn	massif	lourd
QSyn	massif	mastoc
Locin	match	en 
IncepOper1	maturation	venir 
A0	maturité	mûr
CausOper1	maturité	amener 
IncepOper1	maturité	_prendre de la bouteille_
IncepOper1	maturité	arriver 
Real1	mauvaise herbe	déserber
Real1	mauvaise herbe	sarcler
CausOper1	mauvaise posture	mettre 
CausOper1	mauvaise posture	placer 
Oper1	mauvaise posture	être 
CausFunc0	mayonnaise	faire monter 
Oper1	mea culpa	se livrer 
AntiVer	méchanceté	gratuite
Magn	méchanceté	diabolique
Magn	méchanceté	satanique
Magn	méchant	comme un âne rouge
Magn	méchant	comme un âne roux
Magn	méchant	comme une gale
Magn	méchant	comme une teigne
Pred	mécontent	l’avoir mauvaise 
LiquFunc0	mécontentement	apaiser 
Magn	mécontentement	large
CausFunc0	médaille	frapper 
Real1	médaille	remettre 
Real3	médaille	gagner 
Real2	médecin	consulter 
Real2	médecin	voir 
Fact2	médicament	soulage 
Magn	médicament	puissant
Real3	médicament	absorber 
Real3	médicament	prendre 
Ver	médicament	efficace
QSyn	médiocre	_à la petite semaine_
QSyn	médiocre	_de mes deux_
Syn	méditer	recueillir, se
Oper1	méfait	perpétrer 
Oper1	méfiance	observer 
V0	méfiance	se méfier
Sloc	mégot	cendrier
Magn	meilleur	au monde
Syn	meilleur	bien 
AntiBon	mélange	salmigondis
AntiBon	mélange	méli-mélo
QSyn	mélanger	remuer 
Caus1Oper1	mêlée	se jeter 
Magn	mêlée	bataille rangée
Magn	mêlée	générale
